"MONTH","PLANET","PX","PY","PZ","VX","VY","VZ"
"*","NEPTUNE","4.398769580675697E+12","-8.245304485702586E+11","-8.439446157237858E+10","9.660696423873351E2","5.375062204766817E3","-1.330124393880455E2"
"NOVEMBER","SUN","-9.310337316714592E+08","9.481788919374773E+08","1.382575687749073E+07","-1.242704698658654E1","-9.038092429906106E0","3.76312775327959E-1"
"*","MERCURY","1.462971754078531E+10","4.425025384287139E+10","2.124870271335676E+09","-5.56094278702888E4","1.832403863827297E4","6.598468970660206E3"
"*","VENUS","-7.464223129568365E+10","7.897953911265211E+10","5.338235249691688E+09","-2.559637489423834E4","-2.424494045295074E4","1.144134882603714E3"
"*","EARTH","1.148762587112595E+11","9.386327656117186E+10","9.411282390393317E+06","-1.913151310683175E4","2.310482917874922E4","-1.501188455443268E0"
"*","MOON","1.151731675845421E+11","9.413901518492906E+10","-1.275283427999169E+07","-1.979573306912582E+04","2.381249919402656E+04","6.837767435021824E+01"
"*","MARS","1.819337544500178E+11","1.131927889358713E+11","-2.119892530240431E+09","-1.176232566166083E4","2.270833173124257E4","7.646932889775561E2"
"*","JUPITER","3.977804119617974E+11","-6.524350725994267E+11","-6.192945046563059E+09","1.099702149204193E4","7.421216178429552E3","-2.767132700016354E2"
"*","SATURN","7.802100004574064E+11","-1.274221430127107E+12","-8.905653751683354E+09","7.699060340331199E3","5.020397551954768E3","-3.942923809814513E2"
"*","TITAN","7.791983614895062E+11","-1.274818713965440E+12","-8.497001086329281E+09","1.094541059626995E4","9.804624641248317E2","1.364997342227135E3"
"*","URANUS","2.318071140190341E+12","1.838812230860890E+12","-2.320150129626036E+10","-4.282071065019601E3","5.017874382018049E3","7.395131241600706E1"
"*","NEPTUNE","4.401331842392626E+12","-8.101309999651585E+11","-8.475010939605659E+10","9.480523757482576E2","5.377166139050563E3","-1.332711027982296E2"
"DECEMBER","SUN","-9.628727461161865E+08","9.242056064725880E+08","1.480271336376172E+07","-1.214595271767E1","-9.471463961585764E0","3.771762705928304E-1"
"*","MERCURY","-5.496915370422594E+10","-3.548439574700453E+10","1.993704863428541E+09","1.722376494151604E4","-3.824953525114513E4","-4.705520520542796E3"
"*","VENUS","-1.084526125320463E+11","-2.979331402773597E+09","6.164034043390967E+09","1.04982993507394E3","-3.516311924517615E4","-5.433258094045791E2"
"*","EARTH","5.198616351347124E+10","1.386012454162463E+11","8.226503671675920E+06","-2.828939471931197E4","1.056836638695997E4","-1.144884045984665E0"
"*","MOON","5.208522998983949E+10","1.389890254326339E+11","5.672621702648699E+07","-2.924823553920179E+04","1.078468051685950E+04","8.963256484622084E+01"
"*","MARS","1.438829446831650E+11","1.662883617791007E+11","-7.306455363899469E+07","-1.731749581809872E4","1.801938516570958E4","8.027179165797563E2"
"*","JUPITER","4.258725344662461E+11","-6.325551642168258E+11","-6.903855546592116E+09","1.067826349752793E4","7.916130199649129E3","-2.716841377292374E2"
"*","SATURN","8.000625280561430E+11","-1.261040971788202E+12","-9.925300183779061E+09","7.618182491486303E3","5.151714985438497E3","-3.935207871512854E2"
"*","TITAN","7.988165475368776E+11","-1.260885108983666E+12","-9.881552292215466E+09","7.134622151232904E3","3.758429010602201E2","2.116646071164464E3"
"*","URANUS","2.306931726141312E+12","1.851786956011082E+12","-2.300903196225977E+10","-4.313138493978301E3","4.993454642595272E3","7.453687069125591E1"
"*","NEPTUNE","4.403766821985536E+12","-7.961878862175331E+11","-8.509338696518785E+10","9.306349292993377E2","5.380093101242307E3","-1.326796028032517E2"
"JANUARY","SUN","-9.950086305708732E+08","8.981693961241948E+08","1.580959086648613E+07","-1.184293399029292E1","-9.97731088509057E0","3.738251241444194E-1"
"*","MERCURY","3.446165061436861E+10","-5.265571861213453E+10","-7.612875939897567E+09","3.088577648489711E4","2.926663523697633E4","-4.415269771206425E2"
"*","VENUS","-6.777788735650954E+10","-8.435969444794837E+10","2.699566952591926E+09","2.731259248847514E4","-2.176970442161413E4","-1.875023151216018E3"
"*","EARTH","-2.779038418273609E+10","1.455313246881248E+11","8.800740091711283E+06","-2.977742283331162E4","-5.541990307587029E3","-8.565662372797342E-2"
"*","MOON","-2.799737684184251E+10","1.458568300345728E+11","3.287807569570839E+07","-3.061409946092150E+04","-6.124051816158655E+03","6.583912572145190E+01"
"*","MARS","9.188662713138714E+10","2.066960618410965E+11","2.050023982378051E+09","-2.117842548473166E4","1.201705793741985E4","7.716536605822538E2"
"*","JUPITER","4.540037859635507E+11","-6.106824306900772E+11","-7.623906324971437E+09","1.032239777035633E4","8.414060000342248E3","-2.659049498810407E2"
"*","SATURN","8.203511766025622E+11","-1.247065745435617E+12","-1.097618081442171E+10","7.53192837462825E3","5.285840102182892E3","-3.924010317694656E2"
"*","TITAN","8.192115871775407E+11","-1.246557955247298E+12","-1.112444806348556E+10","5.276734506912847E3","1.002838592324196E3","2.040175149692074E3"
"*","URANUS","2.295337517118387E+12","1.865127116213594E+12","-2.280921543573439E+10","-4.344308632565905E3","4.967784605174064E3","7.467911211120295E1"
"*","NEPTUNE","4.406236823119367E+12","-7.817717029438620E+11","-8.544716559465778E+10","9.128318192021874E2","5.384082350004652E3","-1.312924974447983E2"
"FEBRUARY","SUN","-1.026252943292407E+09","8.707468993739018E+08","1.680094948599127E+07","-1.14781617744384E1","-1.049324869507665E1","3.664131981457053E-1"
"*","MERCURY","-5.566832843299996E+09","4.686269379962926E+10","4.191598144621581E+09","-5.826171079672845E4","-3.026946271260725E3","5.097215999166134E3"
"*","VENUS","2.001307424211350E+10","-1.058824044297557E+11","-2.662283874869540E+09","3.411320441314694E4","6.638833378760102E3","-1.877574182825884E3"
"*","EARTH","-9.975491614534618E+10","1.103183123645413E+11","1.153769053788483E+07","-2.261440209901374E4","-2.006315411667334E4","1.490573438128783E0"
"*","MOON","-1.001231387126526E+11","1.103636007850673E+11","4.451038105411083E+07","-2.272455251167574E+04","-2.111385263243958E+04","-8.125537941271688E+00"
"*","MARS","3.219473422702753E+10","2.302235060488893E+11","4.008169656815916E+09","-2.307405724541172E4","5.519532535047068E3","6.820000818015108E2"
"*","JUPITER","4.811575200079438E+11","-5.874964376012520E+11","-8.327557384980768E+09","9.948428752069323E3","8.896575781691843E3","-2.594371398588361E2"
"*","SATURN","8.404044672438512E+11","-1.232732736880428E+12","-1.202392650612444E+10","7.443274626182463E3","5.418497473298292E3","-3.910756158899267E2"
"*","TITAN","8.394993011538855E+11","-1.231930111407174E+12","-1.234753591156024E+10","3.662150348980641E3","2.113949663583736E3","1.689117618892659E3"
"*","URANUS","2.283658746643416E+12","1.878398578375256E+12","-2.260867672231436E+10","-4.376285124562395E3","4.942145656936742E3","7.499218863637832E1"
"*","NEPTUNE","4.408660065798953E+12","-7.673470751202116E+11","-8.579997526039168E+10","8.965264624216345E2","5.387750882697491E3","-1.313639969831539E2"
"MARCH","SUN","-1.053599957136202E+09","8.448098725745580E+08","1.767935173486284E+07","-1.112225834191366E1","-1.095148217278213E1","3.588980984374216E-1"
"*","MERCURY","-5.165151130084397E+10","-4.199408247038626E+10","1.158417962808259E+09","2.151732459285781E4","-3.500210180747393E4","-4.833815740047214E3"
"*","VENUS","8.850048920322895E+10","-6.086354971445731E+10","-5.996929563484099E+09","1.964471231870103E4","2.86855790759218E4","-7.400763943544121E2"
"*","EARTH","-1.406207542418586E+11","5.072984211726353E+10","1.536419184140861E+07","-1.052328487099795E4","-2.816083953723704E4","2.067878535617287E0"
"*","MOON","-1.409855617435670E+11","5.071348627774628E+10","4.595224266653880E+07","-1.045993734758172E+04","-2.923400823371491E+04","-2.688495275621605E+01"
"*","MARS","-2.407469891495766E+10","2.364797408891945E+11","5.520361096696004E+09","-2.320936918375327E4","-3.108233859807996E2","5.631443577470689E2"
"*","JUPITER","5.047893718913282E+11","-5.654600639591447E+11","-8.947650745133728E+09","9.587351873472193E3","9.31766422611872E3","-2.531438067621218E2"
"*","SATURN","8.583094557543911E+11","-1.219482255970492E+12","-1.296730982081652E+10","7.361068985498798E3","5.535743269739224E3","-3.890427129362633E2"
"*","TITAN","8.590817051444504E+11","-1.218692561242689E+12","-1.345134433949667E+10","3.147376335913246E3","9.029927282211467E3","-1.770660475284462E3"
"*","URANUS","2.273037814079283E+12","1.890326235916563E+12","-2.242676453784108E+10","-4.404387154248288E3","4.918683586722835E3","7.535315588115112E1"
"*","NEPTUNE","4.410808526407386E+12","-7.543115106691928E+11","-8.611799836229473E+10","8.796519973142989E2","5.390054676495071E3","-1.305843188293128E2"
"APRIL","SUN","-1.082795232606519E+09","8.148172816599625E+08","1.862416910039843E+07","-1.066974920570726E1","-1.143612094871687E1","3.462182465714914E-1"
"*","MERCURY","3.950853435123415E+10","-4.720260131584780E+10","-7.628655783847596E+09","2.750473859676026E4","3.377701482877781E4","2.374215090686744E2"
"*","VENUS","1.037792078960115E+11","2.825336061865567E+10","-5.655920051233006E+09","-9.000039108470859E3","3.371052682772098E4","9.818723077257856E2"
"*","EARTH","-1.477128501379751E+11","-2.821059740389257E+10","2.031783034570143E+07","5.278155148555776E3","-2.933726215297374E4","2.829525234577021E0"
"*","MOON","-1.479155194643604E+11","-2.851137900054520E+10","2.937109212716483E+07","6.154257720388419E+03","-2.996687959729850E+04","-8.851792752802545E+01"
"*","MARS","-8.471846525675179E+10","2.274355520083190E+11","6.819319353400901E+09","-2.182576615132614E4","-6.342607890357186E3","4.028075255640958E2"
"*","JUPITER","5.299051386136684E+11","-5.398930284706271E+11","-9.615587266077518E+09","9.164631884640317E3","9.769805758074366E3","-2.455256034591824E2"
"*","SATURN","8.778981939996121E+11","-1.204478262290766E+12","-1.400829719307184E+10","7.267453890729731E3","5.665808292387659E3","-3.874413416515307E2"
"*","TITAN","8.789384100968744E+11","-1.204002291074617E+12","-1.435729928774685E+10","4.600295653620177E3","1.023830871250706E4","-2.47903091014941E3"
"*","URANUS","2.261199153015561E+12","1.903465508145491E+12","-2.222462602124023E+10","-4.435842400987516E3","4.892621195432943E3","7.57300155492344E1"
"*","NEPTUNE","4.413142564757054E+12","-7.398714862924082E+11","-8.646907932398653E+10","8.633264841416169E2","5.393369596614721E3","-1.308834197045568E2"
